KPI_ID,KPI_Name,Category,Description,Criticality,Measurement_Unit,Threshold,Compliance_Standard,Why_This_Matters

SEC001,Unauthorized Zone Entry,Intrusion Detection,Person entering restricted area without clearance,CRITICAL,Event count,Any detection,Access control policies,Most common security breach
SEC002,Tailgating at Entry,Intrusion Detection,Multiple people entering on single credential,HIGH,Event count,>1 per scan,Physical security,Bypasses all access controls
SEC003,Perimeter Breach,Intrusion Detection,Climbing or bypassing perimeter barriers,CRITICAL,Event count,Any detection,Perimeter security,First line of defense

FIRE001,Fire and Smoke Detection,Fire Safety,Visual detection of flames or smoke,CRITICAL,Binary,Any detection,Fire codes,Early warning saves lives
FIRE002,Emergency Exit Blocked,Fire Safety,Exit path obstructed,CRITICAL,Binary,Any blockage,Building IBC codes,Blocked exits cause fatalities
FIRE003,Fire Equipment Obstructed,Fire Safety,Extinguishers not accessible,HIGH,Compliance %,<100%,NFPA standards,Common citation in inspections

PPE001,Hard Hat Compliance,Head Protection,Workers wearing hard hats in required zones,CRITICAL,Compliance %,<100%,OSHA 1926.100,Head injuries lead fatalities
PPE002,High-Visibility Vest,Visibility Safety,Hi-vis worn in traffic or warehouse zones,HIGH,Compliance %,<100%,ANSI/ISEA 107,Vehicle-pedestrian separation
PPE003,Safety Glasses,Eye Protection,Eye protection in hazard areas,HIGH,Compliance %,<100%,OSHA 1910.133,Eye injuries very common

FALL001,Fall Protection Harness,Fall Prevention,Harness worn at elevation,CRITICAL,Compliance %,<100%,OSHA 1926.502,Falls are number one killer
FALL002,Guardrail Present,Fall Prevention,Physical barriers at heights in place,HIGH,Compliance %,<100%,OSHA 1910.23,Passive protection critical
FALL003,Ladder Safety,Fall Prevention,Proper ladder use and positioning,MEDIUM,Compliance %,Any unsafe use,OSHA ladder standards,Common fall source

CHILD001,Child Unattended,Child Safety,Child without adult supervision,CRITICAL,Event count,Child alone >2 min,Child protection,Liability and safety
CHILD002,Child in Hazard Zone,Child Safety,Child near dangerous area,HIGH,Binary,Any detection,Safety guidelines,Injury prevention

ELDER001,Elderly Fall Detection,Elderly Care,Senior citizen fall or collapse,CRITICAL,Event count,Any fall,Healthcare duty,Higher injury severity
ELDER002,Elderly Assistance Needed,Elderly Care,Senior showing signs of distress or confusion,MEDIUM,Event flag,Assistance indicator,Customer service,Vulnerable person care

CROWD001,Occupancy Limit,Crowd Management,Headcount vs maximum capacity,HIGH,Count vs Max,>90% capacity,Fire marshal,Legal requirement
CROWD002,Crowd Density Hotspot,Crowd Management,Dangerous compression detected,CRITICAL,Density score,Threshold exceeded,Event safety,Crush prevention
CROWD003,Evacuation Progress,Crowd Management,Time to clear during emergency,HIGH,Time to clear,>Target time,Emergency plans,Preparedness measure

SLIP001,Wet Floor Detection,Slip Hazards,Liquid on floor surface,HIGH,Binary,Any spill,OSHA housekeeping,Top injury source
SLIP002,Trip Hazard Object,Slip Hazards,Obstacle in walkway,MEDIUM,Binary,Any obstruction,OSHA housekeeping,Preventable injury
SLIP003,Fall Incident Detection,Slip Hazards,Person falling,HIGH,Event count,Any fall,Emergency response,Immediate assistance needed

VEHICLE001,Vehicle Speed Limit,Vehicle Traffic,Speeding within premises,HIGH,Speed reading,>Posted limit,Workplace safety,Fatal accident risk
VEHICLE002,Vehicle in Pedestrian Zone,Vehicle Traffic,Vehicle in wrong area,HIGH,Event count,Any entry,Traffic rules,Separation critical
VEHICLE003,Wrong-Way Vehicle,Vehicle Traffic,Vehicle going against flow,MEDIUM,Event count,Any detection,Traffic management,Collision prevention

FORK001,Forklift Speed Violation,Forklift Safety,Forklift speeding in shared zones,HIGH,Speed reading,>Limit,OSHA powered trucks,Leading warehouse killer
FORK002,Forklift-Pedestrian Proximity,Forklift Safety,Dangerous close call,CRITICAL,Proximity alert,Close proximity,OSHA powered trucks,Near-miss prevention
FORK003,Forklift Load Unstable,Forklift Safety,Improperly loaded or tilted,HIGH,Event count,Any detection,OSHA standards,Falling load hazard

CRANE001,Crane Load Path Violation,Overhead Crane,Person under suspended load,CRITICAL,Event count,Anyone under,OSHA crane,Instant fatality risk
CRANE002,Crane Signal Compliance,Overhead Crane,Proper hand signals used,MEDIUM,Compliance %,Signals missing,OSHA crane,Communication critical

CONFINE001,Confined Space No Attendant,Confined Space,Entry without outside attendant,CRITICAL,Compliance %,Entry without,OSHA 1910.146,Rescuers become victims
CONFINE002,Confined Space Equipment,Confined Space,Rescue gear in position,HIGH,Compliance %,Equipment missing,OSHA 1910.146,Rescue readiness

LOTO001,LOTO Not Applied,Lockout Tagout,Energy isolation not visible,CRITICAL,Compliance %,Any maintenance without,OSHA 1910.147,Top OSHA violation
LOTO002,LOTO Removal Check,Lockout Tagout,Proper removal procedure followed,HIGH,Compliance %,Improper removal,OSHA 1910.147,Accidental energization

