KPI_ID,Industry,KPI_Name,Category,Description,Criticality,Threshold,Compliance_Standard,Why_This_Matters,Reference_Link

RET001,Retail,Shoplifting Concealment,Theft Prevention,Person hiding merchandise on body,CRITICAL,Any detection,LP standards,1.4% shrink from external theft,https://nrf.com/research/national-retail-security-survey
RET002,Retail,Organized Retail Crime,Theft Prevention,Coordinated group theft,CRITICAL,Pattern detected,LP standards,Average ORC costs $7200 per incident,https://orcaindustry.com
RET003,Retail,Cart Push-Out,Theft Prevention,Full cart exiting without payment,CRITICAL,Unpaid exit,LP standards,Single incident $500+ loss,https://losspreventionmedia.com
RET004,Retail,Sweethearting,Internal Theft,Cashier passing items unscanned,HIGH,Skip detected,Internal policy,28% shrink from internal theft,https://lpportal.com
RET005,Retail,Till Dipping,Internal Theft,Unauthorized cash drawer access,CRITICAL,Drawer without sale,Internal policy,Cash handling fraud,https://retailfraud.com
RET006,Retail,Age Verification Alcohol,Legal Compliance,ID check for liquor sale,CRITICAL,Unverified sale,State liquor laws,License revocation and fines,https://ttb.gov
RET007,Retail,Age Verification Tobacco,Legal Compliance,ID check for tobacco,CRITICAL,Unverified sale,FDA tobacco rules,$11000 fine per violation,https://fda.gov/tobacco
RET008,Retail,Pharmacy Security,Controlled Substance,Unauthorized pharmacy access,CRITICAL,Unauthorized entry,DEA regulations,Federal crime for diversion,https://deadiversion.usdoj.gov
RET009,Retail,Customer Slip Fall,Liability,Customer fall incident,CRITICAL,Any fall,Liability law,Average lawsuit $30k-50k,https://osha.gov
RET010,Retail,Fitting Room Count,Inventory Control,Items in vs out mismatch,HIGH,Mismatch detected,Store policy,High-theft location,https://retaildive.com
RET011,Retail,Checkout Queue,Customer Experience,Excessive wait time,LOW,>10 min wait,Service SLA,7% abandon per minute,https://retailtouchpoints.com
RET012,Retail,Shelf Gap Detection,Inventory,Empty shelf space visible,LOW,Gap detected,Merchandising,Lost sales opportunity,https://retailnext.net
RET013,Retail,Cold Case Monitoring,Food Safety,Refrigerator door left open,MEDIUM,>2 min open,Food safety,Spoilage and energy waste,https://fda.gov/food
RET014,Retail,Flash Mob Entry,Security,Sudden coordinated group entry,CRITICAL,Influx detected,Emergency response,ORC indicator,https://chainstoreage.com
RET015,Retail,After-Hours Entry,Security,Entry after store closing,HIGH,Any entry,Store security,Prime internal theft time,https://asisonline.org
RET016,Retail,Aisle Blockage,Safety/ADA,Pathway obstructed,MEDIUM,Any blockage,ADA compliance,Wheelchair access required,https://ada.gov
RET017,Retail,Product Tampering,Product Safety,Merchandise opened or damaged,HIGH,Tampering detected,Consumer safety,Liability issue,https://fda.gov
RET018,Retail,Dwell Time Analytics,Customer Insight,Time in store sections,LOW,Analytics only,Business intel,No threshold pure metric,https://placer.ai
RET019,Retail,Conversion Tracking,Customer Insight,Visitors vs purchasers,LOW,Below target,Sales targets,Store performance,https://retailnext.net
RET020,Retail,Return Fraud Behavior,Fraud Prevention,Suspicious return patterns,MEDIUM,Pattern detected,Return policy,Fraudulent returns growing,https://appriss.com

MFG001,Manufacturing,Machine Guard Missing,Machine Safety,Guard not in place during operation,CRITICAL,<100%,OSHA 1910.212,Amputation hazard,https://osha.gov/machine-guarding
MFG002,Manufacturing,LOTO Not Applied,Energy Control,Lockout tagout not visible,CRITICAL,Any violation,OSHA 1910.147,Top 5 OSHA citation,https://osha.gov/lockout-tagout
MFG003,Manufacturing,Forklift Speed,Material Handling,Forklift exceeding limit,HIGH,>Speed limit,OSHA trucks,85 deaths annually,https://osha.gov/powered-industrial-trucks
MFG004,Manufacturing,Forklift Pedestrian,Material Handling,Close call with person,CRITICAL,Close proximity,OSHA trucks,Leading warehouse fatality,https://osha.gov/powered-industrial-trucks
MFG005,Manufacturing,Crane Load Path,Overhead Operations,Person under load,CRITICAL,Any person,OSHA crane,Instant fatality risk,https://osha.gov/cranes-hoists
