name,resource_type,service_name,region,cloud_resource_id,name_has_prod,name_has_dev,name_has_staging,name_has_test,name_has_api,name_has_ml,name_has_data,name_length,name_word_count,label_Environment,label_Owner,label_CostCenter,label_Application,label_Department,label_Project,label_Team,label_DataClassification,label_Version,label_ManagedBy,label_CreatedDate,label_ExpiryDate,label_Name,label_BackupRequired,label_InstanceType,label_LaunchTemplate,label_AutoShutdown,label_SLA,label_Compliance,label_EngineType,label_RetentionDays,label_MultiAZ,label_ArchiveAfterDays,label_StorageClass,label_Versioning,label_SecurityGroup,label_NetworkTier,label_NatGateway,label_vm-size-category,label_ComputeType,label_patch-group,label_AutoshutdownSchedule,label_data-tier,label_DatabaseType,label_backup-retention,label_StorageAccountType,label_blob-tier,label_RedundancyLevel,label_network-policy,label_NetworkSecurityLevel,label_machine-type,label_compute-tier,label_preemptible,label_image-family,label_replication-type,label_database-engine,label_backup-enabled,label_bucket-class,label_storage-tier,label_versioning-enabled,label_network-tier,label_firewall-rule-type,has_labels,num_labels
vehicle-lambda-v17-dev-serverlessdeploymentbucket-btumnjmstsve,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v17-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
sls-vehicle-prod-serverlessdeploymentbucket-pfeepqxwe6xt,Bucket,AmazonS3,ap-south-1,sls-vehicle-prod-serverlessdeploymentbucket-pfeepq,1,0,0,0,0,0,0,56,5,prod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehicle-lambda-v18-dev-serverlessdeploymentbucket-og03vltkny1v,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v18-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehicle-lambda-v8-dev-serverlessdeploymentbucket-mpfylpphxz6p,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v8-dev-serverlessdeploymentbucket-m,0,1,0,0,0,0,0,61,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
sls-vehicle-new-prod-serverlessdeploymentbucket-l1qkiedpmf8x,Bucket,AmazonS3,ap-south-1,sls-vehicle-new-prod-serverlessdeploymentbucket-l1,1,0,0,0,0,0,0,60,6,prod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehicle-lambda-v10-dev-serverlessdeploymentbucket-zk2jelqyqb1q,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v10-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehiclerc-basic-v7-dev-serverlessdeploymentbucket-l9iw7qwofh3o,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v7-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehiclerc-basic-dev-serverlessdeploymentbucket-ppfcusyex7kb,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-dev-serverlessdeploymentbucket-ppf,0,1,0,0,0,0,0,59,5,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehicle-lambda-dev-serverlessdeploymentbucket-ars6kpt2dxql,Bucket,AmazonS3,ap-south-1,vehicle-lambda-dev-serverlessdeploymentbucket-ars6,0,1,0,0,0,0,0,58,5,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehicle-lambda-v5-dev-serverlessdeploymentbucket-xdln3x2nrezx,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v5-dev-serverlessdeploymentbucket-x,0,1,0,0,0,0,0,61,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehiclerc-basic-v6-dev-serverlessdeploymentbucket-mitd901l9w2v,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v6-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehiclerc-basic-v9-dev-serverlessdeploymentbucket-zpixnmdwj0zk,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v9-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehicle-lambda-v7-dev-serverlessdeploymentbucket-hbgmdekmjpny,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v7-dev-serverlessdeploymentbucket-h,0,1,0,0,0,0,0,61,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
vehiclerc-basic-v11-dev-serverlessdeploymentbucket-khvfkboq0rxm,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v11-dev-serverlessdeploymentbucket,0,1,0,0,0,0,0,63,6,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
