name,resource_type,service_name,region,cloud_resource_id,name_has_prod,name_has_dev,name_has_staging,name_has_test,name_has_api,name_has_ml,name_has_data,name_length,name_word_count,label
vehicle-lambda-v17-dev-serverlessdeploymentbucket-btumnjmstsve,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v17-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
sls-vehicle-prod-serverlessdeploymentbucket-pfeepqxwe6xt,Bucket,AmazonS3,ap-south-1,sls-vehicle-prod-serverlessdeploymentbucket-pfeepq,1,0,0,0,0,0,0,56,5,prod
vehicle-lambda-v18-dev-serverlessdeploymentbucket-og03vltkny1v,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v18-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehicle-lambda-v8-dev-serverlessdeploymentbucket-mpfylpphxz6p,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v8-dev-serverlessdeploymentbucket-m,0,1,0,0,0,0,0,61,6,dev
sls-vehicle-new-prod-serverlessdeploymentbucket-l1qkiedpmf8x,Bucket,AmazonS3,ap-south-1,sls-vehicle-new-prod-serverlessdeploymentbucket-l1,1,0,0,0,0,0,0,60,6,prod
vehicle-lambda-v10-dev-serverlessdeploymentbucket-zk2jelqyqb1q,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v10-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehiclerc-basic-v7-dev-serverlessdeploymentbucket-l9iw7qwofh3o,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v7-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehiclerc-basic-dev-serverlessdeploymentbucket-ppfcusyex7kb,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-dev-serverlessdeploymentbucket-ppf,0,1,0,0,0,0,0,59,5,dev
vehicle-lambda-dev-serverlessdeploymentbucket-ars6kpt2dxql,Bucket,AmazonS3,ap-south-1,vehicle-lambda-dev-serverlessdeploymentbucket-ars6,0,1,0,0,0,0,0,58,5,dev
vehicle-lambda-v5-dev-serverlessdeploymentbucket-xdln3x2nrezx,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v5-dev-serverlessdeploymentbucket-x,0,1,0,0,0,0,0,61,6,dev
vehiclerc-basic-v6-dev-serverlessdeploymentbucket-mitd901l9w2v,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v6-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehiclerc-basic-v9-dev-serverlessdeploymentbucket-zpixnmdwj0zk,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v9-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehicle-lambda-v7-dev-serverlessdeploymentbucket-hbgmdekmjpny,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v7-dev-serverlessdeploymentbucket-h,0,1,0,0,0,0,0,61,6,dev
vehiclerc-basic-v11-dev-serverlessdeploymentbucket-khvfkboq0rxm,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v11-dev-serverlessdeploymentbucket,0,1,0,0,0,0,0,63,6,dev
vehicle-lambda-v15-dev-serverlessdeploymentbucket-pv7tjjngnvpd,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v15-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehicle-lambda-v19-dev-serverlessdeploymentbucket-0puwvqdpzauk,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v19-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehicle-lambda-v1-dev-serverlessdeploymentbucket-x4wewragrnqo,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v1-dev-serverlessdeploymentbucket-x,0,1,0,0,0,0,0,61,6,dev
vehiclerc-basic-v4-dev-serverlessdeploymentbucket-nmfxsiab28mx,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v4-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehicle-lambda-v2-dev-serverlessdeploymentbucket-b7xyq7fhdkoc,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v2-dev-serverlessdeploymentbucket-b,0,1,0,0,0,0,0,61,6,dev
vehicle-lambda-v13-dev-serverlessdeploymentbucket-rct9phujneuz,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v13-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehiclerc-basic-v10-dev-serverlessdeploymentbucket-odd2ruv6ixt6,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v10-dev-serverlessdeploymentbucket,0,1,0,0,0,0,0,63,6,dev
vehiclerc-basic-v2-dev-serverlessdeploymentbucket-wi0lyzyf1kil,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v2-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehiclerc-v1-dev-serverlessdeploymentbucket-ttlwgcthfrsi,Bucket,AmazonS3,ap-south-1,vehiclerc-v1-dev-serverlessdeploymentbucket-ttlwgc,0,1,0,0,0,0,0,56,5,dev
oceansls-prod-serverlessdeploymentbucket-vtq47wpz8w33,Bucket,AmazonS3,ap-south-1,oceansls-prod-serverlessdeploymentbucket-vtq47wpz8,1,0,0,0,0,0,0,53,4,prod
face-recognition-dev-serverlessdeploymentbucket-ktgvbyxyw1ko,Bucket,AmazonS3,ap-south-1,face-recognition-dev-serverlessdeploymentbucket-kt,0,1,0,0,0,0,0,60,5,dev
vehicle-lambda-v12-dev-serverlessdeploymentbucket-smxxyrnenyri,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v12-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehiclerc-basic-v13-dev-serverlessdeploymentbucket-l9uwidry9ooe,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v13-dev-serverlessdeploymentbucket,0,1,0,0,0,0,0,63,6,dev
vehicle-lambda-v3-dev-serverlessdeploymentbucket-qsintkxrgucs,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v3-dev-serverlessdeploymentbucket-q,0,1,0,0,0,0,0,61,6,dev
vehicle-lambda-v6-dev-serverlessdeploymentbucket-2dcts5iboiy8,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v6-dev-serverlessdeploymentbucket-2,0,1,0,0,0,0,0,61,6,dev
vehiclerc-basic-v8-dev-serverlessdeploymentbucket-vmgxpvrxmkdc,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v8-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
sls-vehicle-new-dev-serverlessdeploymentbucket-cmxyvncozn1g,Bucket,AmazonS3,ap-south-1,sls-vehicle-new-dev-serverlessdeploymentbucket-cmx,0,1,0,0,0,0,0,59,6,dev
vehicle-lambda-v14-dev-serverlessdeploymentbucket-uvwnrbxneaf3,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v14-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehiclerc-basic-v14-dev-serverlessdeploymentbucket-hiebwcuje0cw,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v14-dev-serverlessdeploymentbucket,0,1,0,0,0,0,0,63,6,dev
vehiclerc-v10-prod-serverlessdeploymentbucket-swrhy4eey6ot,Bucket,AmazonS3,ap-south-1,vehiclerc-v10-prod-serverlessdeploymentbucket-swrh,1,0,0,0,0,0,0,58,5,prod
vehiclerc-basic-v3-dev-serverlessdeploymentbucket-b85yfpeqwqxi,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v3-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehiclerc-basic-v5-dev-serverlessdeploymentbucket-tuukgjvhweuc,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v5-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehicle-lambda-dev-dev-de-serverlessdeploymentbuck-xl7g2kwn3u6r,Bucket,AmazonS3,ap-south-1,vehicle-lambda-dev-dev-de-serverlessdeploymentbuck,0,1,0,0,0,0,0,63,7,dev
vehiclerc-basic-v1-dev-serverlessdeploymentbucket-ytcmothgfhao,Bucket,AmazonS3,ap-south-1,vehiclerc-basic-v1-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
vehicle-lambda-v16-dev-serverlessdeploymentbucket-ftykgzr6itde,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v16-dev-serverlessdeploymentbucket-,0,1,0,0,0,0,0,62,6,dev
