name,resource_type,service_name,region,cloud_resource_id,name_has_prod,name_has_dev,name_has_staging,name_has_test,name_has_api,name_has_ml,name_has_data,name_length,name_word_count,label
audit-smart-contract,Instance,AmazonEC2,ap-south-1,i-02dce087aaf9073cf,0,0,0,0,0,0,0,20,3,smart-contract
io-ct-jenkins,Instance,AmazonEC2,ap-south-1,i-07c47f86b70d8dc6d,0,0,0,0,0,0,0,13,3,Cloudtuner
prod-testing-scoop-3rd,Instance,AmazonEC2,ap-south-1,i-0d80997f52554318f,1,0,0,1,0,0,0,22,4,testing-scoop
prod-testing-scoop-4th,Instance,AmazonEC2,ap-south-1,i-08f142ca462a6fb03,1,0,0,1,0,0,0,22,4,testing-scoop
prod-rc-theft-&-bulk-process,Instance,AmazonEC2,ap-south-1,i-099a98fc02204b10c,1,0,0,0,0,0,0,28,6,theft-track
prod-testing-scoop-1st,Instance,AmazonEC2,ap-south-1,i-03a561577aa688bdf,1,0,0,1,0,0,0,22,4,testing-scoop
prod-testing-scoop-2nd,Instance,AmazonEC2,ap-south-1,i-04a997918a51193bf,1,0,0,1,0,0,0,22,4,testing-scoop
prod-invi-read-frontend,Instance,AmazonEC2,ap-south-1,i-01be56849bfd921d6,1,0,0,0,0,0,0,23,4,invincible-read
prod-invi-read-backend-2nd,Instance,AmazonEC2,ap-south-1,i-09aed364e2034b6a2,1,0,0,0,0,0,0,26,5,invincible-read
prod-invi-read-mini-backend,Instance,AmazonEC2,ap-south-1,i-0396c51036ba650f3,1,0,0,0,0,0,0,27,5,invincible-read
prod-invi-read-backend-1st,Instance,AmazonEC2,ap-south-1,i-04b87b4db461553ea,1,0,0,0,0,0,0,26,5,invincible-read
io-ct-jenkins,Instance,AmazonEC2,ap-south-1,i-07c47f86b70d8dc6d,0,0,0,0,0,0,0,13,3,Cloudtuner
audit-smart-contract,Instance,AmazonEC2,ap-south-1,i-02dce087aaf9073cf,0,0,0,0,0,0,0,20,3,smart-contract
prod-testing-scoop-1st,Instance,AmazonEC2,ap-south-1,i-03a561577aa688bdf,1,0,0,1,0,0,0,22,4,testing-scoop
prod-testing-scoop-2nd,Instance,AmazonEC2,ap-south-1,i-04a997918a51193bf,1,0,0,1,0,0,0,22,4,testing-scoop
prod-testing-scoop-3rd,Instance,AmazonEC2,ap-south-1,i-0d80997f52554318f,1,0,0,1,0,0,0,22,4,testing-scoop
prod-testing-scoop-4th,Instance,AmazonEC2,ap-south-1,i-08f142ca462a6fb03,1,0,0,1,0,0,0,22,4,testing-scoop
prod-rc-theft-&-bulk-process,Instance,AmazonEC2,ap-south-1,i-099a98fc02204b10c,1,0,0,0,0,0,0,28,6,theft-track
prod-invi-read-backend-1st,Instance,AmazonEC2,ap-south-1,i-04b87b4db461553ea,1,0,0,0,0,0,0,26,5,invincible-read
prod-invi-read-frontend,Instance,AmazonEC2,ap-south-1,i-01be56849bfd921d6,1,0,0,0,0,0,0,23,4,invincible-read
prod-invi-read-backend-2nd,Instance,AmazonEC2,ap-south-1,i-09aed364e2034b6a2,1,0,0,0,0,0,0,26,5,invincible-read
